"serial_no","chapter_name","paragraph_number","paragraph","Word_Count","Sentance_Count","Stop_Words","Post_INFO"
"76","One","76","Bad business - snucking out something from a customer order.","10","1","3","{""NOUN"": 5, ""."": 1, ""VERB"": 1, ""PRT"": 1, ""ADP"": 1, ""DET"": 1}"
"77","One","77","'Great match. Nail-biting finish, we won,' I said, walking in.","14","2","3","{""ADJ"": 1, ""NOUN"": 3, ""."": 4, ""PRON"": 2, ""VERB"": 3, ""ADP"": 1}"
"78","One","78","I  switched  on  the  tubelight  inside.  The  homes  in  our  pol  required  light  even during daytime.","16","2","5","{""PRON"": 2, ""VERB"": 2, ""ADP"": 4, ""DET"": 2, ""NOUN"": 4, ""ADJ"": 1, ""ADV"": 1}"
"79","One","79","'If I have a good Diwali season, I will get you a colour TV,' mom vowed.","19","1","5","{""NOUN"": 5, ""PRON"": 3, ""VERB"": 4, ""DET"": 2, ""ADJ"": 2, ""."": 3}"
"80","One","80","'No  need,'  I  said.  I  removed  my  shoes  to  get  ready  for  a  shower,  'you  need  a bigger grinder urgently, the small one is all wobbly' 'I will buy the TV if only the business makes extra money,' she said.","48","2","14","{""NOUN"": 7, ""VERB"": 10, ""."": 8, ""PRON"": 5, ""PRT"": 2, ""ADJ"": 4, ""ADP"": 2, ""DET"": 6, ""ADV"": 3, ""NUM"": 1}"
"81","One","81","'No.  If  you  make  extra  money,  put  it  back  in  the  business.  Don't  buy  useless things. I can always see the match in colour in Ishaan's house.' She left the room. My mother knew it was futile arguing with me. Without dad around, it was amazing how much say I had in the house. And I only hoped Ish and Omi would listen to my proposition as well.","73","8","24","{""PRT"": 4, ""ADP"": 7, ""PRON"": 10, ""VERB"": 17, ""ADJ"": 4, ""NOUN"": 15, ""."": 3, ""DET"": 4, ""ADV"": 7, ""CONJ"": 2}"
"82","One","82","My love for business began when I first started tuitions. It was amazing to see money build up. With money came not only things like coolers and sofas but also the most important stuff - respect. Shopkeepers no longer avoided us, relatives re- invited us to weddings and our landlord's visit did not throw us into turmoil. And then there was the thrill - I was making money, not earning it under some boss or getting a handout. I could decide my fate, how many students to teach, how many hours per class - it was my decision.","103","6","36","{""PRON"": 13, ""NOUN"": 23, ""ADP"": 6, ""VERB"": 22, ""ADV"": 13, ""PRT"": 5, ""CONJ"": 5, ""DET"": 5, ""ADJ"": 4, ""."": 7}"
"83","One","83","There  is  something  about  Gujaratis,  we  love  business.  And  Ambadadis  love  it more than anything else. Gujarat is the only state in India where people tend to respect you more if you have a business than if you are in service. The rest of the country  dreams  about  a  cushy  job  that  gives  a  steady  salary  and  provides stability.  In  Ahmedabad,  service  is  for the  weak.  That  was  why  I  dreamt  my biggest dream - to be a big businessman one day. The only hitch was my lack of capital.  But  I  would  build  it  slowly  and  make  my  dream  come  true.  Sure,  Ish could not make his dream of being in the Indian cricket team real, but that was a stupid dream to begin with. To be in the top eleven of a country of a billion people was  in  many  ways  an  impossible  dream,  and  even  though  Ish  was  top  class  in Belrampur,  he  was  no  Tendulkar.  My  dream  was  more  realistic,  I  would  start slow and  then  grow  my  business.  From  a  turnover  of  thousands,  to  lakhs,  to crores and then to hundreds of crores.","197","12","87","{""DET"": 21, ""VERB"": 35, ""NOUN"": 48, ""ADP"": 24, ""."": 10, ""PRON"": 15, ""CONJ"": 8, ""ADJ"": 19, ""ADV"": 8, ""PRT"": 7, ""NUM"": 2}"
"84","One","84","I came out of the shower and dressed again.","9","1","5","{""PRON"": 1, ""VERB"": 2, ""ADV"": 2, ""ADP"": 1, ""DET"": 1, ""NOUN"": 1, ""CONJ"": 1}"
"85","One","85","""Want  to  eat  anything?'  my  mother  voiced  her  most  quoted  line  from  the kitchen.","16","2","6","{""."": 2, ""VERB"": 3, ""PRT"": 1, ""NOUN"": 4, ""PRON"": 2, ""ADV"": 1, ""ADJ"": 1, ""ADP"": 1, ""DET"": 1}"
"86","One","86","'No, I am going out with Ish and Omi to Gopi.' 'Gopi? Why? I make the same things. What do you get at Gopi that I can't give you at home?' Peace and quiet, I wanted to say.","43","6","15","{""NUM"": 1, ""."": 2, ""PRON"": 7, ""VERB"": 9, ""PRT"": 6, ""ADP"": 4, ""NOUN"": 7, ""CONJ"": 2, ""ADV"": 2, ""DET"": 1, ""ADJ"": 2}"
"87","One","87","'It's Ish's treat. And I want to talk to them about my new business.' 'So you are not repeating the engineering entrance,' my mother came out of the kitchen.  She raised dough-covered hands, 'You can take  a year to  prepare. Stop taking tuitions for a while, we have money now.' My mother felt guilty about a million things. One of them was me not making it to a good engineering college. Tuitions and supporting my mom's business meant I could study less for the entrance exams. I didn't make it to IIT or any of the top institutes.","108","9","43","{""NOUN"": 27, ""PRT"": 10, ""CONJ"": 3, ""PRON"": 14, ""VERB"": 20, ""ADP"": 8, ""ADJ"": 6, ""ADV"": 4, ""DET"": 9, ""."": 5, ""NUM"": 2}"
"88","One","88","I did make it to a far-flung college in Kutch, but it wasn't worth it to leave my tuition income, friends, cricket at Nana Park and mom for that.","33","1","15","{""PRON"": 5, ""VERB"": 4, ""PRT"": 2, ""DET"": 2, ""ADJ"": 2, ""NOUN"": 9, ""ADP"": 3, ""."": 3, ""CONJ"": 2, ""ADV"": 1}"
"89","One","89","Not  that  I  felt  any  emotion,  it  just  did  not  seem  like  the  right  trade.  I  could  do maths  honours  right  here  in  Amdavad  University,  continue  tuitions  and  think about business. The Kutch college did not even guarantee a job.","42","3","15","{""ADV"": 7, ""ADP"": 4, ""PRON"": 3, ""VERB"": 10, ""DET"": 4, ""NOUN"": 10, ""."": 2, ""ADJ"": 1, ""CONJ"": 1}"
"90","One","90","'I  don't  want  to  be  an  engineer,  mom.  My  heart  is  in  business.  Plus,  I  have already done two years of college. One more and I will be a graduate.' 'Yes, but who gives a job to a maths graduate?' It  was  true.  Maths  honours  was  a stupid  course  to  take  from  an  economic point of view.","64","7","25","{""PRT"": 4, ""PRON"": 5, ""VERB"": 12, ""ADV"": 2, ""DET"": 6, ""NOUN"": 15, ""."": 5, ""ADP"": 4, ""CONJ"": 3, ""NUM"": 3, ""ADJ"": 5}"
"91","One","91","'It is ok. I needed a degree and I can get it without studying much,' I said. 'I am a businessman, mom. I can't change that.' My mother pulled my cheeks. Chunks of dough stuck to my face.","44","6","12","{""NOUN"": 8, ""VERB"": 10, ""ADJ"": 4, ""PRON"": 9, ""DET"": 2, ""CONJ"": 1, ""ADP"": 3, ""."": 5, ""ADV"": 1, ""PRT"": 1}"
"92","One","92","'Be whatever. You are always my son first.' She hugged me. I hated it. I hate a display of emotion more than emotion itself. 'I better go.' That is your tenth chapatti,' Ish told Omi.","40","7","11","{""NUM"": 1, ""DET"": 3, ""PRON"": 10, ""VERB"": 8, ""ADV"": 2, ""NOUN"": 7, ""PRT"": 2, ""ADP"": 2, ""ADJ"": 2, ""."": 3}"
"93","One","93","'Ninth. Who cares? It is a buffet. Can you pass the ghee please?' 'All that food. It has to be bad for you,' Ish said.","28","6","10","{""NOUN"": 7, ""PRON"": 5, ""VERB"": 6, ""DET"": 2, ""."": 3, ""PRT"": 2, ""ADP"": 2, ""ADJ"": 1}"
"94","One","94","'Two  hundred  push-ups.'  Omi  said.  'Ten  rounds  of  Nana  Park.  One  hour  at Bittoo Mama's home gym. You do this everyday like me and you can hog without worry.' People  like  Omi  are  no-profit  customers.  There  is  no  way  Gopi  could  make money off him.","48","7","13","{""NUM"": 3, ""VERB"": 9, ""NOUN"": 18, ""PRT"": 2, ""ADP"": 6, ""PRON"": 4, ""DET"": 3, ""CONJ"": 1, ""."": 1, ""ADJ"": 1}"
"95","One","95","'Aamras, and ras malai. Thanks,' Omi said to the waiter. Ish and I nodded for the same.","20","3","7","{""NOUN"": 5, ""."": 3, ""CONJ"": 2, ""VERB"": 3, ""ADJ"": 2, ""PRT"": 1, ""DET"": 2, ""PRON"": 1, ""ADP"": 1}"
"96","One","96","'So,  what's  up?  I'm  listening,'  Ish  said  as  he  scooped  up  the  last  spoon  of aamras.","21","2","7","{""NOUN"": 4, ""."": 3, ""PRON"": 3, ""VERB"": 5, ""PRT"": 2, ""ADP"": 2, ""DET"": 1, ""ADJ"": 1}"
"97","One","97","'Eat  your  food  first.  We'll  talk  over  tea,'  I  said.  People argued  less  on  a  full stomach.","20","3","4","{""VERB"": 5, ""PRON"": 3, ""NOUN"": 4, ""ADV"": 2, ""ADP"": 2, ""."": 2, ""DET"": 1, ""ADJ"": 1}"
"98","One","98","'I am not paying for tea. My treat is limited to a thali,' Ishaan protested.","18","2","6","{""PRT"": 2, ""PRON"": 1, ""VERB"": 5, ""ADV"": 1, ""ADP"": 1, ""NOUN"": 5, ""DET"": 1, ""."": 2}"
"99","One","99","'I'll pay for the tea,' I said.","11","1","2","{""PRT"": 1, ""PRON"": 2, ""VERB"": 3, ""ADP"": 1, ""DET"": 1, ""NOUN"": 1, ""."": 2}"
"100","One","100","'Relax, man. I was only joking. Mr Accounts can't even take a joke. Right, Omi?' Omi laughed.","21","5","3","{""NUM"": 1, ""."": 2, ""NOUN"": 7, ""PRON"": 1, ""VERB"": 5, ""ADV"": 3, ""DET"": 1, ""PRT"": 1}"
"101","One","101","'Whatever.  Guys,  you  really  need  to  listen  today.  And  stop  calling  me  Mr Accounts.' I ordered tea while the waiter cleared our plates.","25","4","6","{""ADV"": 2, ""NOUN"": 7, ""."": 1, ""PRON"": 4, ""VERB"": 6, ""PRT"": 2, ""CONJ"": 1, ""ADP"": 1, ""DET"": 1}"
"102","One","102","I am  serious,  Ish.  What  do  you  plan  to  do  with  your  life?  We  are  not  kids anymore,' I said.","23","3","9","{""PRON"": 6, ""VERB"": 6, ""ADJ"": 1, ""."": 3, ""NOUN"": 3, ""PRT"": 1, ""ADP"": 1, ""ADV"": 2}"
"103","One","103","'Unfortunately,' Ish said and sighed. 'Ok, then. I will apply for jobs, maybe do an  NIIT  computer  course  first.  Or  should  I  take  an  insurance  job?  What  do  you think?' I saw Ish's face. He tried to smile, but I saw the pain. The champion batsman of Belrampur would become an insurance  salesman.  Belrampur kids had  grown up applauding his boundaries at Nana Park. But now, when he had no life ahead, he wanted to insure other people's lives.","89","10","27","{""ADV"": 7, ""."": 8, ""NOUN"": 25, ""VERB"": 21, ""CONJ"": 3, ""PRON"": 10, ""ADP"": 3, ""DET"": 6, ""PRT"": 5, ""ADJ"": 1}"
"104","One","104","Omi looked at me, hoping I'd come up with a great option from Santa's goodie bag. I was sick of parenting them.","25","2","9","{""NOUN"": 6, ""VERB"": 6, ""ADP"": 4, ""PRON"": 4, ""."": 1, ""PRT"": 2, ""DET"": 1, ""ADJ"": 1}"
"105","One","105","'I want to start a business,' I began.","11","1","2","{""PRT"": 2, ""PRON"": 2, ""VERB"": 3, ""DET"": 1, ""NOUN"": 1, ""."": 2}"
"106","One","106","'Not  again,'  Ish  said.  'I  can't  do  that  man.  What  was  it  the  last  time?  A  fruit dealership? Ugh! I can't be weighing watermelons all day. And the crazy one after that, Omi?' 'Car  accessories.  He  said  there  is  big  money  in  that,'  Omi  said  as  he  slurped his dessert.","59","9","18","{""NOUN"": 16, ""ADV"": 3, ""."": 5, ""VERB"": 11, ""PRT"": 2, ""PRON"": 7, ""DET"": 7, ""ADJ"": 3, ""CONJ"": 1, ""NUM"": 1, ""ADP"": 3}"
"107","One","107","'What?  Put  seat  covers  all  day.  No  thanks.  And  the  other  one - stock  broker.","15","4","3","{""DET"": 3, ""VERB"": 1, ""NOUN"": 7, ""CONJ"": 1, ""ADJ"": 1, ""NUM"": 1, ""."": 1}"
"108","One","108","What is that anyway?' Ish shrugged.","7","2","2","{""PRON"": 1, ""VERB"": 2, ""DET"": 1, ""ADV"": 1, ""PRT"": 1, ""NOUN"": 1}"
"109","One","109","'So  what  the  fuck  do  you  want  to  do?  Beg  people  to  buy  insurance?  Or  sell credit cards at street corners? You, Ish, are a military school dropout,' I said and paused for breath. 'And you got a compartment in Class XII, twice. You can be a priest, Omi, but what about us?' I don't want to be a priest,' Omi said listlessly.","74","7","25","{""VERB"": 16, ""PRON"": 9, ""DET"": 5, ""NOUN"": 20, ""PRT"": 3, ""ADP"": 4, ""."": 10, ""ADJ"": 1, ""CONJ"": 2, ""NUM"": 1, ""ADV"": 3}"
"110","One","110","'Then,  why do  you  oppose  me  even  before I  start? This time I have something that will interest you.' 'What?' Ish said.","25","4","9","{""NOUN"": 5, ""."": 4, ""ADV"": 2, ""VERB"": 6, ""PRON"": 5, ""ADP"": 1, ""DET"": 2}"
"111","One","111","'Cricket,' I said.","5","1","0","{""NOUN"": 1, ""."": 2, ""PRON"": 1, ""VERB"": 1}"
"112","One","112","'What?' both of them said in unison.","8","2","4","{""DET"": 2, ""."": 1, ""ADP"": 2, ""PRON"": 1, ""VERB"": 1, ""NOUN"": 1}"
"113","One","113","'There you go, nice to get your attention. Now can I talk?' 'Sure,' Ish waved a hand.","21","3","5","{""ADV"": 3, ""PRON"": 3, ""VERB"": 5, ""."": 4, ""PRT"": 1, ""NOUN"": 4, ""DET"": 1}"
"114","One","114","'We are going to open a cricket shop,' I said.","12","1","3","{""NOUN"": 3, ""VERB"": 4, ""PRT"": 1, ""DET"": 1, ""."": 2, ""PRON"": 1}"
"115","One","115","I deliberately left for the rest room.","7","1","2","{""PRON"": 1, ""ADV"": 1, ""VERB"": 1, ""ADP"": 1, ""DET"": 1, ""NOUN"": 2}"
"116","One","116","'But how?' Omi interrogated when I returned. 'What is a cricket shop?' 'A sports store really. But since cricket is the most popular game in Belrampur, we will focus on that.' Ish's silence meant he was listening to me.","45","6","16","{""PRT"": 3, ""ADV"": 4, ""."": 5, ""NOUN"": 10, ""VERB"": 9, ""PRON"": 5, ""DET"": 4, ""CONJ"": 1, ""ADP"": 3, ""ADJ"": 1}"
"117","One","117","'It will be a small retail store. Money for a shop deposit is a problem, so I need Omi's help.' 'Mine?' Omi said.","27","4","8","{""NOUN"": 9, ""VERB"": 5, ""DET"": 3, ""ADJ"": 2, ""ADP"": 2, ""."": 2, ""PRON"": 1, ""PRT"": 3}"
"118","One","118","'Yes, we will open the shop right inside the Swami temple complex. Next to the flower and puja shops. 1 noticed an empty shop there. And it is part of the temple land.' 'A cricket shop in a temple complex?' Ish questioned.","46","6","15","{""NOUN"": 16, ""."": 4, ""PRON"": 2, ""VERB"": 5, ""DET"": 7, ""ADV"": 2, ""ADP"": 3, ""ADJ"": 3, ""PRT"": 1, ""CONJ"": 2, ""NUM"": 1}"
"119","One","119","'Wait. Omi, do you think you can arrange that? Without that our plan is«a non- starter.' 'You mean the Kuber sweet shop that just closed? The temple trust will rent it out  soon.  And  normally  they  let  it  out  to  something  related  to  temple  activities,' Omi said.","53","6","20","{""NUM"": 1, ""NOUN"": 11, ""."": 3, ""VERB"": 12, ""PRON"": 6, ""DET"": 6, ""ADP"": 1, ""ADJ"": 4, ""PRT"": 5, ""ADV"": 3, ""CONJ"": 1}"
"120","One","120","'I know. But you have to convince your dad. After all he runs the temple trust.' 'He does, but Mama looks after the shops. Will we pay rent?' 'Yes,'  I  sighed.  'But  not  immediately.  We  need  a  two-month  waiver.  And  we cannot pay the deposit.' 'I'll have to go through mom,' Omi said. Good, his mind was working.","71","11","23","{""PRT"": 6, ""PRON"": 11, ""VERB"": 18, ""CONJ"": 3, ""NOUN"": 12, ""ADP"": 3, ""DET"": 5, ""ADJ"": 2, ""."": 7, ""NUM"": 1, ""ADV"": 3}"
"121","One","121","'Sorry  to  ask  again,  but  a  cricket  shop  in  a  temple  complex?  Who  will  buy?","16","2","7","{""NUM"": 1, ""PRT"": 1, ""VERB"": 3, ""ADV"": 1, ""."": 1, ""CONJ"": 1, ""DET"": 2, ""NOUN"": 5, ""ADP"": 1}"
"122","One","122","Seventy-year-old aunties who come for kirtan will want willow bats?' Ish scoffed.","13","2","3","{""ADJ"": 2, ""NOUN"": 4, ""PRON"": 1, ""VERB"": 4, ""ADP"": 1, ""PRT"": 1}"
"123","One","123","The waiter had cleared our tea and presented the bill. By Gopi protocol, we had to be out of the restaurant in two minutes.","25","2","12","{""DET"": 3, ""NOUN"": 7, ""VERB"": 5, ""PRON"": 2, ""CONJ"": 1, ""ADP"": 4, ""."": 1, ""PRT"": 1, ""NUM"": 1}"
"124","One","124","'Good question. A cricket shop by a temple does sound strange. But think - is there any sports shop in Belrampur?' 'Not  really.  You  don't  even  get  leather  balls.  Ellis  Bridge  is  the  nearest,'  Ish said.","40","6","10","{""NUM"": 1, ""NOUN"": 11, ""DET"": 5, ""ADP"": 2, ""VERB"": 7, ""ADJ"": 4, ""CONJ"": 1, ""."": 3, ""PRT"": 2, ""ADV"": 3, ""PRON"": 1}"
"125","One","125","'See,  that's  number  one.  Number  two,  the  temple  is  a  family  place.  Kids  are among the most bored people in temples. Where are they going to hang out?' 'It is true,' Omi said. 'That is why so many balloon wallahs hover outside.' 'And that is where Ish comes in. People know you were a good player. And you can  give  playing  tips  to  every  kid  who  comes  to  buy  from  us.  Slowly, our reputation will build.' 'But what about Christian or Muslim kids? They won't come, right?' Ish said.","101","13","34","{""NUM"": 3, ""."": 9, ""DET"": 7, ""VERB"": 23, ""NOUN"": 19, ""ADP"": 6, ""ADV"": 8, ""ADJ"": 7, ""PRON"": 9, ""PRT"": 8, ""CONJ"": 2}"
"126","One","126","'Not  at  first  but  the  shop  is  outside  the  temple.  As  word  spreads,  they  will come. What choice do they have anyway?' 'Where will we get what we sell?' Ish said.","34","5","14","{""NOUN"": 7, ""ADP"": 3, ""ADJ"": 1, ""CONJ"": 1, ""DET"": 2, ""VERB"": 10, ""."": 2, ""PRON"": 6, ""PRT"": 1, ""ADV"": 1}"
"127","One","127","'There's  a  sports  equipment  supplier  in  Vastrapur  who  will  give  us  a  month's credit. If we have the space, we are good to go without cash.' 'But what if it doesn't run?' Ish asked with scepticism.","42","4","16","{""DET"": 4, ""VERB"": 9, ""NOUN"": 10, ""ADP"": 5, ""PRON"": 6, ""PRT"": 3, ""."": 3, ""ADJ"": 1, ""ADV"": 1}"
"128","One","128","'Worst case, we sell the stock at a loss and I'll cover the rest through my tuition savings. But it will work, man. If you put your heart into it, it will.' Both of them remained silent.","42","4","18","{""ADJ"": 2, ""NOUN"": 8, ""."": 4, ""PRON"": 9, ""VERB"": 8, ""DET"": 4, ""ADP"": 5, ""CONJ"": 2}"
"129","One","129","'Guys, please. I need you for this. I really want to run a business. I can't do it without partners. It's cricket,' I appealed to Ish.","31","5","8","{""NOUN"": 6, ""."": 3, ""PRON"": 7, ""VERB"": 7, ""ADP"": 2, ""DET"": 2, ""ADV"": 2, ""PRT"": 2}"
